Rank,trial,rmse,learning_rate,depth,iterations,l2_leaf_reg,random_strength,border_count,subsample,rsm,min_data_in_leaf
1,22,1.995015513760381,0.06679880044005419,8,364,1.6447609938118624,3.2107318629862522,255,0.641064159105469,0.8348285290349847,10
2,21,1.9975924280272075,0.06908182005593821,8,363,1.5519525906817067,3.5014391662489714,255,0.6257377177119997,0.8001616234589172,12
3,23,1.9982491249339915,0.06051342368333993,9,366,1.7512500686424197,3.4318419468907666,255,0.7000286318383518,0.8012364486139857,10
4,5,1.998455308307512,0.09453119645161819,8,239,1.4070456001948426,1.6266516538163218,255,0.7427013306774357,0.7123738038749523,19
5,25,1.9991575296131847,0.0549149620003768,9,347,1.7712998517937493,4.24846322558455,255,0.6909255010328326,0.8199629899702116,11
6,14,1.9991792652039322,0.06715756240251552,8,297,2.4890074167826977,1.754516106560711,255,0.664857997761558,0.813341771057923,17
7,28,1.999357855954063,0.06471616098896582,8,380,3.1483552705940925,4.158840279963768,128,0.6267531396463532,0.8618658724501078,12
8,24,1.999867545176881,0.061636408029144184,9,371,2.0410776540637743,3.5068981189939916,255,0.6352659542269478,0.9258846924357187,10
9,10,2.0012422054128516,0.0749668858861299,8,394,1.1616568805333802,4.807387340159249,255,0.6062379198633824,0.7660963206918456,14
10,27,2.001772831072062,0.07141629014966125,9,344,1.7355247795495887,3.418382976235506,255,0.6404613801105138,0.8436716582677839,9
11,20,2.002097382592394,0.0868210816183154,8,266,3.277742482010429,2.3197945189755105,255,0.7863152528715751,0.7220582690968069,30
12,13,2.0021951668687215,0.07983844615493883,9,397,2.3027400067090062,1.8599363974642968,255,0.6834692437358901,0.7170069891617957,14
13,11,2.0029073711111582,0.07505989156366766,8,390,1.1282563868079432,4.897782584174607,255,0.6059239606245164,0.7708449222533327,14
14,12,2.0034765616110937,0.078676348763939,8,296,1.0635169395402557,4.967645075775552,255,0.6080802179420371,0.7574062567270384,14
15,26,2.003781125586316,0.04385665770591533,10,367,3.113775686573039,3.0269979141591037,255,0.6987784868160071,0.7921263794446611,11
16,17,2.0038446510337815,0.0652745746234303,8,320,4.71461279855912,1.6411899674538075,255,0.6656222143908919,0.9951185566844174,23
17,15,2.005730443890113,0.059791262505468006,9,275,4.121358710681902,1.6735662968817533,255,0.6761226865646799,0.843703982484205,19
18,19,2.0084121958605348,0.08653516442024477,9,304,2.05690539367268,1.4125904294908698,64,0.6487134340155493,0.6678326117551007,16
19,9,2.010247177661659,0.03755239988953131,8,327,3.82920382968694,2.542853455823514,64,0.9022204554172195,0.6915192661966489,7
20,18,2.010634410491276,0.06988240171788257,10,252,2.6311528520550818,2.0645658119489205,255,0.7434038034070697,0.8215422515313847,10
21,16,2.0127556684676584,0.08681552449201778,10,200,2.4856163117390033,0.06685975259101995,255,0.7569219871639554,0.6108876105564788,18
22,8,2.014886510018576,0.09210489198034286,10,224,7.419203085006955,3.803925243084487,128,0.8090931317527976,0.7710164073434198,5
23,2,2.014931720197766,0.05045012539746527,9,291,8.066583652537123,0.9983689107917987,128,0.8430179407605753,0.6682096494749166,6
24,4,2.0172435541768614,0.04811459871200119,11,262,5.680612190600297,2.7335513967163982,128,0.9757995766256756,0.9579309401710595,20
25,29,2.0181817379582574,0.057664564891881986,11,328,5.095256466125985,3.044283794622085,64,0.6970454524266575,0.8015884103293426,12
26,0,2.02534018591484,0.056217808319315374,12,347,6.387926357773329,0.7800932022121826,255,0.8404460046972835,0.8832290311184181,5
27,7,2.027166601907312,0.03518312562138633,9,223,8.767930832880342,3.1164906341377896,64,0.7300733288106989,0.8918424713352255,21
28,1,2.028512237880977,0.09789368965133961,12,242,2.636424704863906,0.9170225492671691,128,0.7164916560792167,0.8447411578889518,8
29,6,2.030841672202193,0.039864695748233384,12,214,9.881982429404655,3.861223846483287,255,0.8827429375390468,0.8916028672163949,25
30,3,2.037607061145128,0.09642198760773334,12,362,3.741523922560336,0.48836057003191935,64,0.798070764044508,0.6137554084460873,28
