Rank,trial,rmse,learning_rate,num_leaves,max_depth,min_child_samples,colsample_bytree,subsample,subsample_freq,min_split_gain,reg_alpha,reg_lambda,n_estimators
1,22,1.994946977408626,0.03246088840156672,38,6,19,0.7015336294076854,0.7467362179152398,5,0.6091743407951827,0.3699807668649804,1.447682255116173,272
2,23,1.9963832475648011,0.03452258434184208,31,6,20,0.7008673547435484,0.7457306487202313,5,0.5306556833646566,0.17758417952910543,1.4612342012866404,244
3,21,1.9974424947170362,0.02989701858350473,38,6,18,0.7758111509801272,0.7529814296201105,5,0.6375050588583435,0.47985826031076173,1.4276493719868082,271
4,19,1.9977175931773068,0.027552129232121136,38,6,22,0.7009923376902853,0.745530262670177,5,0.636314023513843,0.40905214807238066,1.4695560586438434,280
5,18,1.998507349071139,0.029342607269345577,39,6,17,0.8416035360479963,0.8570622020534607,5,0.6398425719810306,0.39847882228237835,0.8582015197435356,275
6,27,1.9994760599897707,0.032870512329230085,35,6,19,0.7743705147012915,0.7663608852314692,4,0.5528516092862783,0.3307426109660929,1.3029596858091705,264
7,17,1.9998821358750696,0.029458486404059285,37,6,16,0.8394332675858923,0.9057912662429408,1,0.6761099754470647,0.47298455179207044,0.9178379816093135,269
8,15,2.000326825139577,0.04753132614308796,40,6,10,0.8301261889775863,0.8733900045628906,3,0.7686861990483811,0.2585695018572697,0.87241234207407,229
9,28,2.0006587219750744,0.049798098179467745,32,6,25,0.7471519062336333,0.8273385541287454,5,0.36148318412345437,0.5380214134496519,1.4867889962527059,297
10,11,2.001148309831471,0.04051460900748543,34,6,10,0.9013518545918487,0.9432567495685442,2,0.756714109034562,0.5553718726890673,1.0609734522569296,258
11,16,2.0012285977412114,0.04536260050182603,32,6,22,0.9025628105311945,0.8620009925399574,3,0.9652325178791947,0.2043569633620621,1.485151668905378,221
12,20,2.0013883987655965,0.02474836099203105,43,8,24,0.7164752656167448,0.7048054728178755,5,0.34890294446552783,0.3915020617544264,1.8089829056134428,281
13,14,2.001753873072506,0.08069571512530105,42,6,10,0.816481202370179,0.8921283575429872,3,0.7516736244771383,0.28602080646554795,0.831688831398949,232
14,9,2.002895211289983,0.08362132893302439,46,4,13,0.8012845514210883,0.9828729111737557,2,0.5187906217433661,0.7030189588951778,0.727259204758588,295
15,13,2.003160186275985,0.06066973317474686,35,-1,16,0.9896013838196365,0.9424198103341492,2,0.4134140996927128,0.6162514480150668,1.3313846966848613,258
16,29,2.0031855288364397,0.055308996303576836,42,-1,14,0.7300304992352513,0.7713654751384114,4,0.2451316788144156,0.9932386863865048,1.6924482193329495,212
17,25,2.003239460416968,0.035400186537172695,29,6,27,0.737818231673314,0.7472308313969394,4,0.44360226324676116,0.21927397064306553,1.3339665994246968,220
18,6,2.003439421915299,0.0379884089544096,30,6,13,0.9139734361668985,0.9282355145850693,3,0.770967179954561,0.49379559636439074,1.0454656587639881,185
19,24,2.0035992888444447,0.05155256111192722,30,-1,20,0.776241601275392,0.746371725118926,5,0.50474225040081,0.15717886004880963,1.5906739484945283,247
20,12,2.0041535083547783,0.09836963346853071,40,6,17,0.8834701788088464,0.9988049595242305,2,0.5995286857355966,0.649563237803354,1.0357766756312927,258
21,0,2.0046951369008608,0.04370861069626263,49,-1,11,0.9598528437324805,0.8803345035229626,4,0.020584494295802447,0.9699098521619943,1.6648852816008435,142
22,10,2.005883923379766,0.0615096475793487,37,8,20,0.8507593653024389,0.711617559988355,2,0.5464143838320076,0.33479517622323646,1.9847253309206734,244
23,26,2.007731193381322,0.019999157712368723,34,6,30,0.7007030018335,0.729992041842223,5,0.8717187217189581,0.007581413698399153,1.7835908478255709,244
24,4,2.011964512215513,0.017964325184672756,26,6,35,0.8070259980080767,0.7842803529062142,3,0.14092422497476265,0.8021969807540397,0.14910128735954165,298
25,1,2.01442029274327,0.02636424704863906,25,4,28,0.7418481581956126,0.7876433945605654,2,0.45606998421703593,0.7851759613930136,0.39934756431671947,203
26,8,2.0152332147016474,0.09367278871083158,45,4,37,0.8618026725746952,0.9422320465492188,5,0.3180034749718639,0.11005192452767676,0.45587032508388337,185
27,5,2.015350121515149,0.07950202923669918,26,4,33,0.7222133955202271,0.8075397185632818,1,0.8631034258755935,0.6232981268275579,0.6617960497052984,112
28,2,2.015810753402582,0.06331731119758383,21,8,39,0.9425192044349383,0.7913841307520112,1,0.6842330265121569,0.4401524937396013,0.24407646968955765,199
29,3,2.0187277855567367,0.013094966900369657,48,4,26,0.7554563366576581,0.9908753883293675,4,0.9394989415641891,0.8948273504276488,1.1957999576221703,285
30,7,2.203211632852284,0.012287721406968568,23,4,38,0.7747876687446624,0.8231148769106889,4,0.22879816549162246,0.07697990982879299,0.579502905827536,132
