mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_min_child_samples,param_n_estimators,param_num_leaves,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
2.9506686329841614,0.8515873429122384,0.24683284759521484,0.03719977322141604,0.0455635212401633,8,23,194,35,"{'learning_rate': 0.0455635212401633, 'max_depth': 8, 'min_child_samples': 23, 'n_estimators': 194, 'num_leaves': 35}",-2.077678878776225,-2.0316892339252437,-2.086761498051546,-1.9550543444577646,-2.037795988802695,0.052133813817608364,1
2.1892387866973877,0.7505696329930343,0.1632499098777771,0.004999778073121535,0.043373642697843974,4,14,198,31,"{'learning_rate': 0.043373642697843974, 'max_depth': 4, 'min_child_samples': 14, 'n_estimators': 198, 'num_leaves': 31}",-2.0698030533806517,-2.030192645485151,-2.082995133959886,-1.9689019702151562,-2.037973200760211,0.044360697459213054,2
2.640949785709381,0.8869768953012589,0.17501568794250488,0.006971620470895325,0.027884411338075517,8,20,180,27,"{'learning_rate': 0.027884411338075517, 'max_depth': 8, 'min_child_samples': 20, 'n_estimators': 180, 'num_leaves': 27}",-2.0703600951343533,-2.0312564265881075,-2.088266466088865,-1.9623224418626786,-2.038051357418501,0.04833852347718871,3
2.8263352513313293,0.9818384705981346,0.22252440452575684,0.032540147100681344,0.026791305299743225,4,20,227,26,"{'learning_rate': 0.026791305299743225, 'max_depth': 4, 'min_child_samples': 20, 'n_estimators': 227, 'num_leaves': 26}",-2.069357467017386,-2.032532757102208,-2.0845527228727927,-1.9666762698486102,-2.0382798042102492,0.045461793878610136,4
2.6523709297180176,0.8075996911344301,0.1917312741279602,0.035101527407818744,0.028275510226129244,-1,16,185,21,"{'learning_rate': 0.028275510226129244, 'max_depth': -1, 'min_child_samples': 16, 'n_estimators': 185, 'num_leaves': 21}",-2.0699799515701938,-2.0338079091137153,-2.0869403396510435,-1.9635613565414582,-2.0385723892191026,0.04736889511025572,5
1.9602170586585999,0.6077834378983089,0.15725380182266235,0.009252432276697791,0.049540285167919314,6,16,151,23,"{'learning_rate': 0.049540285167919314, 'max_depth': 6, 'min_child_samples': 16, 'n_estimators': 151, 'num_leaves': 23}",-2.0774290838269405,-2.034655751194107,-2.0802157826513907,-1.9624368102587542,-2.038684356982798,0.047581328329316795,6
1.8527985215187073,0.5038769752336083,0.13226550817489624,0.011300387791665046,0.09161455973911786,-1,29,102,26,"{'learning_rate': 0.09161455973911786, 'max_depth': -1, 'min_child_samples': 29, 'n_estimators': 102, 'num_leaves': 26}",-2.0842710335036,-2.0322341306683804,-2.079581886737893,-1.9589304650373354,-2.0387543789868023,0.05038110286583822,7
2.1641059517860413,0.8005138080411323,0.1610945463180542,0.020898085158292747,0.039388669192525184,4,17,181,34,"{'learning_rate': 0.039388669192525184, 'max_depth': 4, 'min_child_samples': 17, 'n_estimators': 181, 'num_leaves': 34}",-2.0723557685174616,-2.032573850042763,-2.0838116522833734,-1.9672139522007301,-2.038988805761082,0.04559392238671855,8
2.1221510767936707,0.697515647808384,0.154465913772583,0.021692146124776338,0.06109302950379923,-1,27,143,21,"{'learning_rate': 0.06109302950379923, 'max_depth': -1, 'min_child_samples': 27, 'n_estimators': 143, 'num_leaves': 21}",-2.0797803794491134,-2.031078420634189,-2.083960735912193,-1.9620671019918803,-2.039221659496844,0.04915722939107248,9
2.7079312801361084,0.7752200584450732,0.2145424485206604,0.024822436312000064,0.043708610696262626,-1,24,206,27,"{'learning_rate': 0.043708610696262626, 'max_depth': -1, 'min_child_samples': 24, 'n_estimators': 206, 'num_leaves': 27}",-2.0809101956034426,-2.0319865237379853,-2.0837367315502178,-1.960811644817255,-2.0393612739272253,0.04979941090357904,10
