Rank,rmse,learning_rate,num_leaves,max_depth,min_child_samples,n_estimators
1,1.9975826142401356,0.03731242036996277,35,4,19,173
2,1.997805134578627,0.03355170297910996,35,4,18,186
3,1.9985670102274793,0.04683078941834915,32,4,20,161
4,1.9988423868381702,0.03407426164009399,35,4,17,159
5,1.999186642429677,0.044671307208543704,29,4,21,189
6,1.999849729360878,0.038999330655838764,33,8,10,166
7,2.001034926262522,0.0867789835252499,35,8,14,153
8,2.0027331993638082,0.056847389780388315,21,6,30,105
9,2.0043601523606207,0.023444994219077732,38,4,24,198
10,2.004930694787428,0.06302782277231742,40,6,17,187
11,2.0052166660547743,0.022605114323896773,38,4,25,208
12,2.005992408605097,0.032896335954119095,38,8,31,216
13,2.0063437280940737,0.08395914176162923,25,6,21,231
14,2.006757321137262,0.01538240778568116,35,4,17,140
15,2.0077154884888735,0.08949195423291875,27,-1,25,103
16,2.008067170437133,0.08208433420004352,31,6,14,170
17,2.0081909288775037,0.06434203309805027,27,6,25,149
18,2.009327708128633,0.09832112910586098,22,6,12,141
19,2.010896826732639,0.05341331016474986,31,-1,30,196
20,2.138321024340896,0.010316683249792805,32,4,22,129
