Rank,trial,rmse,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,gamma,reg_alpha,reg_lambda,n_estimators
1,21,1.9955597817897797,0.030012919133263795,8,7,0.6050558897489657,0.6001063738726478,1.2552341539810783,0.20289171522503113,2.0062338386642735,246
2,13,1.9974119365215302,0.03880407266955718,8,10,0.6016328309089584,0.6032275189562184,1.2234414632247113,0.24155493298033986,2.7257401471872234,237
3,29,1.9983899593353271,0.05066101090217558,7,13,0.7766787261349191,0.66380425024931,3.789622334230686,0.5824986833101181,0.0517421948454837,220
4,27,1.9986401498317719,0.030475078413709326,9,11,0.6828315182894329,0.650773441009233,2.0849233784341776,0.5636183899369999,1.8473652838979495,210
5,24,1.9987958073616028,0.031601206047368456,9,9,0.6195482191836789,0.6388758976851874,0.7049626184003187,0.4139326920318326,3.153993313677659,252
6,14,1.998817503452301,0.03768198939175032,9,8,0.601420950501779,0.6113991669081348,0.9933853461025244,0.20221545090113222,2.57933293194894,235
7,22,1.9992407858371735,0.034305457997437026,8,7,0.6430537659759507,0.6349176342996377,1.2929227606870812,0.13822815601577843,0.9687244924114939,249
8,25,1.999417006969452,0.03043583734868601,7,9,0.6357022136493494,0.6911938415201079,0.6002404921985134,0.47806217945032947,3.348348103639914,255
9,15,1.9994192719459534,0.033450413673126726,8,8,0.6043956756975085,0.6034949511345348,1.060163058564604,0.22849952253740563,2.1371749397559476,247
10,26,1.9996825456619263,0.044502796927166154,8,9,0.7448119555741755,0.6470249912561042,1.3560027342561631,0.3858689188785868,3.0718427700911346,286
11,0,1.9998775124549866,0.056217808319315374,10,13,0.8394633936788146,0.6624074561769746,0.7799726016810132,0.05808361216819946,4.330880728874676,220
12,23,2.000339299440384,0.039642935026307335,8,6,0.6775512557165926,0.6018769936290624,2.176712103154247,0.11697565609473934,2.2196736674085447,227
13,19,2.0003626346588135,0.037117552675001754,7,7,0.6988516438718336,0.7619319512146406,0.053355787448680525,0.3135125145901511,2.8228356399285217,233
14,2,2.0006240606307983,0.06023615130494811,6,11,0.6557975442608167,0.7168578594140873,1.8318092164684585,0.45606998421703593,3.925879806965068,140
15,16,2.0007188618183136,0.04083577232528107,9,8,0.6009939202139243,0.6012427016181424,2.580143193422604,0.30593040655403025,2.6835370696358978,237
16,18,2.000784933567047,0.045342461284971304,7,9,0.6377227405958541,0.6322184436935591,2.36061287588024,0.12512650244960644,0.4508702647371394,184
17,3,2.001650393009186,0.06599641068895282,8,5,0.8430179407605753,0.6682096494749166,0.3252579649263976,0.9488855372533332,4.828160165372797,262
18,5,2.0018484592437744,0.07637655990477873,6,10,0.8186841117373118,0.6739417822102108,4.847923138822793,0.7751328233611146,4.697494707820946,279
19,17,2.0020837783813477,0.038971490031743446,9,7,0.6995867131965218,0.7098313360986096,1.0868634681229246,0.5964416701830693,1.664120814330841,299
20,10,2.002278685569763,0.09660727523852426,8,8,0.9729161367647149,0.8262452362725613,3.214252295037542,0.015594799658456338,2.5824323231446136,214
21,9,2.0029823184013367,0.07363086887792905,6,5,0.7243929286862649,0.7300733288106989,3.64803089169032,0.6375574713552131,4.436063712881633,194
22,12,2.0031524896621704,0.06098719221971445,10,13,0.7382774980993067,0.7874820875551369,1.6770531643277828,0.19214820887349418,3.2480796137843813,167
23,7,2.004878669977188,0.054972732868551255,5,10,0.6563696899899051,0.9208787923016158,0.3727532183988541,0.9868869366005173,3.861223846483287,139
24,28,2.005362808704376,0.04118581836022649,10,11,0.6776810451368984,0.7285316438961214,2.939596756681416,0.7828711725189887,1.748263459356131,203
25,11,2.0053808391094208,0.04620513105073471,7,15,0.6274439707988329,0.7737425087025644,1.7125799686887833,0.5024639373191088,3.4494521167484598,101
26,8,2.0063239336013794,0.030386548198652167,9,12,0.8916028672163949,0.9085081386743783,0.3702232586704518,0.3584657285442726,0.5793452976256486,273
27,20,2.007826805114746,0.04694416086785683,9,10,0.6008193620214491,0.9712411472931488,3.1992128599051526,0.25583975814221277,2.2451387169531793,299
28,1,2.0079692602157593,0.07956508044572319,4,15,0.9329770563201687,0.6849356442713105,0.9091248360355031,0.18340450985343382,1.5212112147976886,205
29,4,2.0082373917102814,0.05132296384213595,4,12,0.7760609974958406,0.6488152939379115,2.475884550556351,0.034388521115218396,4.546602010393911,152
30,6,2.010577142238617,0.07185299851677596,10,5,0.6783931449676581,0.6180909155642152,1.6266516538163218,0.388677289689482,1.3567451588694794,266
